year,scope,category,label,annualYoYPercent,sourceUrl
2021,national,overall,"CPI 居民消费价格总水平",0.9,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,foodAndTobaccoAlcohol,"食品烟酒",-0.3,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,clothing,"衣着",0.3,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,housing,"居住",0.8,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,household,"生活用品及服务",0.4,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,transportCommunication,"交通通信",4.1,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,educationCultureEntertainment,"教育文化娱乐",1.9,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,medical,"医疗保健",0.4,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2021,national,other,"其他用品及服务",-1.3,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901328.html"
2022,national,overall,"CPI 居民消费价格总水平",2,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,foodAndTobaccoAlcohol,"食品烟酒",2.4,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,clothing,"衣着",0.5,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,housing,"居住",0.7,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,household,"生活用品及服务",1.2,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,transportCommunication,"交通通信",5.2,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,educationCultureEntertainment,"教育文化娱乐",1.8,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,medical,"医疗保健",0.6,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2022,national,other,"其他用品及服务",1.6,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html"
2023,national,overall,"CPI 居民消费价格总水平",0.2,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,foodAndTobaccoAlcohol,"食品烟酒",0.3,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,clothing,"衣着",1,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,housing,"居住",0,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,household,"生活用品及服务",0.1,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,transportCommunication,"交通通信",-2.3,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,educationCultureEntertainment,"教育文化娱乐",2,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,medical,"医疗保健",1.1,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2023,national,other,"其他用品及服务",3.2,"https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html"
2024,national,overall,"CPI 居民消费价格总水平",0.2,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,foodAndTobaccoAlcohol,"食品烟酒",-0.1,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,clothing,"衣着",1.4,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,housing,"居住",0.1,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,household,"生活用品及服务",0.5,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,transportCommunication,"交通通信",-1.9,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,educationCultureEntertainment,"教育文化娱乐",1.5,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,medical,"医疗保健",1.3,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2024,national,other,"其他用品及服务",3.8,"https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html"
2025,national,overall,"CPI 居民消费价格总水平",0,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,foodAndTobaccoAlcohol,"食品烟酒",-0.7,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,clothing,"衣着",1.5,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,housing,"居住",0.1,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,household,"生活用品及服务",0.9,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,transportCommunication,"交通通信",-2.6,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,educationCultureEntertainment,"教育文化娱乐",0.8,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,medical,"医疗保健",0.8,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
2025,national,other,"其他用品及服务",9.3,"https://www.stats.gov.cn/sj/zxfb/202601/t20260109_1962273.html"
