year,scope,category,label,annualAmount,sourceUrl
2021,national,foodAndTobaccoAlcohol,"食品烟酒",7178,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,clothing,"衣着",1419,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,housing,"居住",5641,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,household,"生活用品及服务",1423,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,transportCommunication,"交通通信",3156,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,educationCultureEntertainment,"教育文化娱乐",2599,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,medical,"医疗保健",2115,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,national,other,"其他用品及服务",569,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2022,national,foodAndTobaccoAlcohol,"食品烟酒",7481,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,clothing,"衣着",1365,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,housing,"居住",5882,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,household,"生活用品及服务",1432,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,transportCommunication,"交通通信",3195,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,educationCultureEntertainment,"教育文化娱乐",2469,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,medical,"医疗保健",2120,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,national,other,"其他用品及服务",595,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2023,national,foodAndTobaccoAlcohol,"食品烟酒",7983,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,clothing,"衣着",1479,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,housing,"居住",6095,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,household,"生活用品及服务",1526,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,transportCommunication,"交通通信",3652,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,educationCultureEntertainment,"教育文化娱乐",2904,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,medical,"医疗保健",2460,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,national,other,"其他用品及服务",697,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2024,national,foodAndTobaccoAlcohol,"食品烟酒",8411,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,clothing,"衣着",1521,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,housing,"居住",6263,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,household,"生活用品及服务",1547,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,transportCommunication,"交通通信",3976,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,educationCultureEntertainment,"教育文化娱乐",3189,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,medical,"医疗保健",2547,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2024,national,other,"其他用品及服务",773,"https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958325.html"
2025,national,foodAndTobaccoAlcohol,"食品烟酒",8631,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,clothing,"衣着",1554,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,housing,"居住",6397,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,household,"生活用品及服务",1667,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,transportCommunication,"交通通信",4306,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,educationCultureEntertainment,"教育文化娱乐",3489,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,medical,"医疗保健",2573,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,national,other,"其他用品及服务",859,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2021,urban,foodAndTobaccoAlcohol,"食品烟酒",8678,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,clothing,"衣着",1843,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,housing,"居住",7405,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,household,"生活用品及服务",1820,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,transportCommunication,"交通通信",3932,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,educationCultureEntertainment,"教育文化娱乐",3322,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,medical,"医疗保健",2521,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2021,urban,other,"其他用品及服务",786,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html"
2022,urban,foodAndTobaccoAlcohol,"食品烟酒",8958,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,clothing,"衣着",1735,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,housing,"居住",7644,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,household,"生活用品及服务",1800,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,transportCommunication,"交通通信",3909,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,educationCultureEntertainment,"教育文化娱乐",3050,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,medical,"医疗保健",2481,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2022,urban,other,"其他用品及服务",814,"https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html"
2023,urban,foodAndTobaccoAlcohol,"食品烟酒",9495,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,clothing,"衣着",1880,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,housing,"居住",7822,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,household,"生活用品及服务",1910,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,transportCommunication,"交通通信",4495,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,educationCultureEntertainment,"教育文化娱乐",3589,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,medical,"医疗保健",2850,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2023,urban,other,"其他用品及服务",953,"https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html"
2025,urban,foodAndTobaccoAlcohol,"食品烟酒",10155,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,clothing,"衣着",1941,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,housing,"居住",8095,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,household,"生活用品及服务",2033,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,transportCommunication,"交通通信",5251,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,educationCultureEntertainment,"教育文化娱乐",4298,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,medical,"医疗保健",2932,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
2025,urban,other,"其他用品及服务",1164,"https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html"
